 ,Subject,Content,Problem
169515,Cuenta de uso general para el proyecto IoT en el servidor ftp.tid.es,Buenas tardes Queriamos solicitaros una cuenta de uso general para el proyecto IoT en el servidor ftp.tid.es para necesidad de transferencia de ficheros en el proyecto IoT SmartCities Si es posible necesitariamos este id de usuario iotuser Muchas gracias Un saludo Abel Abel Gutierrez del Olmo Service Delivery - Global Operations Deployment Telefonica Global Resources agutierrezfull-on-net.com,add-ftp-user
170229,MV para pruebas de cyclops en M M,Hola Jaime Como te he comentado estamos haciendo una prueba de concepto de cyclops para usarlo en las maquinas del smartM M. Podrias crearme una maquina virtual por un par de semanas para realizar las pruebas. Necesito lo que tengas mas parecido a un RH . Gracias de antemano. Un saludo Paco. -- Francisco Garcia Troitiño Francisco Garcia Troitiño Head of Release and System Engineer for SM M Digital Operation and Deployment. Distrito Telefonica Plaza Oeste Planta . Ronda de la Comunicacion s n Madrid Spain Mobile francisco.garciatroitinotelefonica.com mailto francisco.garciatroitinotelefonica.com skype francisco troitino,crearmaquinavirtual
170397,WIKIS Creacion de la wiki network-dev,Creacion de wiki para dev Ruben Montoro Terciado Network Team - In-Life Product Operations ruben.montoro.exttelefonica.com mailto ruben.montoro.exttelefonica.com Distrito Telefonica Edificio Oeste Planta Ronda De La Comunicacion S N Madrid https www.google.es maps place Ronda de la Comunicaci C B n . - . z data m b m m s xd bf d b x ea b b bc . Img http www.tid.es es,create-wiki
171179,Peticion creacion WIKI Proyecto SDP y MVNE - GCTO,Buenos dias Desde el departamento de GCTO nos gustaria crear dos wikis para proyecto del SDP - Plataformas Latam. El motivo de esta operacion seria facilitar el acceso al Protocolo Operativo de los dos servicios que manejamos. A continuacion los datos de la primera wiki Nombre SDP Responsable Sara Gomez Iglesias sara.gomeziglesiastelefonica.com mailto sara.gomeziglesiastelefonica.com Mario Ruiz Ruiz- b.mrr mario.ruizruiztelefonica.com mailto mario.ruizruiztelefonica.com A continuacion los datos de la segunda wiki Nombre MVNE Responsable Carlos Gallego Barrientos e.operations .tidtelefonica.com mailto e.operations .tidtelefonica.com Mario Ruiz Ruiz-b.mrr mario.ruizruiztelefonica.com mailto mario.ruizruiztelefonica.com Muchas gracias Un saludo. Mario Ruiz Ruiz GCTO - Digital Operations Deployment Platforms New Services Skype marioruiztid,create-wiki
171347,Acceso a Openstack,Buenas tardes Acaban de proporcionarme usuario de TID jcg y acceso a la VPN Ya dispongo de cretificado y puedo conectar correctamente y todo me funciona correctamente. Desearia saber como puedo acceder a Openstack para poder crear Maquinas Virtuales. Saludos Jesus,add-users-to-tenant
171384,Entorno PRE hadoop,Ticket para autoinventariado firma-epg,crearmaquinavirtual
171578,ticket prueba,Prueba mensaje add user OST job Luis Antonio Cano Perez EPG In-Life Product Operations Distrito T Edificio Oeste Â� Planta Puesto D Skype luis cano epg,add-users-to-tenant
172094,Acceso user OpenStack,Hola Podeis darnos acceso al entorno -IoT-int-ext en OpenStack para el usuario iot-jenkins-ost Mil gracias Maria A.,add-users-to-tenant
173104,Acceso de usuario javier a tenants openstack,Hola Necesitamos que el usuario javier Javier Mendiara tenga acceso a los siguientes tenants de openstack EPG - -guido - -TdafBox - Gracias de antemano.,add-users-to-tenant
173506,WIKI Crear la wiki globalcloud,This message is an automated reply to your mail. WIKI Crear la wiki globalcloud Includes the following TAG in the subject EPG when we send emails related to the ticket. You can send to the following address epgtid.es To see the content please follow the link below and use your TID user. http vmticket.hi.inet Ticket Display.htmlid ------------------- Peticion desde http vmticket.hi.inet Ticket Display.htmlid Crear una nueva wiki globalcloud -- Borja Martin Fernandez SMP - Git Github PDIHUB admin -------------------,create-wiki
173603,Acceso a tenant -CCBROKER-E E de openstack EPG,Buenos dias necesito que el usuario guido tenga acceso al tenant -CCBROKER-E E. Muchas gracias.,add-users-to-tenant
174220,Acceso de mlt al tenant,Buenas. Necesito que mi usuario mlt tenga acceso al tenant . Ya tengo acceso al -Tdafbox pero parece que hay un sin nada mas. Gracias. Saludos.,add-users-to-tenant
174273,Tenants de TDAF,Hola Nos gustaria reorganizar un poco el uso de los tenants que tenemos actualmente en TDAF y pediros algunos nuevos para tener bien segmentar bien los productos Renombrar el tenant -tdafbox a -Druida-INT Renombrar el tenant a -General Nuevo tenant -Druida-DEV capacidad de maquinas y con el flavor de MB de RAM activado Nuevo tenant -Accounts-INT capacidad de maquinas y con el flavor de MB de RAM activado Nuevo tenant -Accounts-DEV capacidad de maquinas y con el flavor de MB de RAM activado Los usuarios que deben tener acceso a los nuevos tenants son dll jorgelg Eag jarf Spmarin Labajo guido mlt mac pbg tdaf-jenkins-ost Para el tenant -Druida-INT y -General tambien deberia tener acceso tdaf-jenkins-ost. Gracias David,add-users-to-tenant
174477,Wiki Operaciones,Hola Seriais tan amables de crearnos un espacio para operaciones en wikis tid por favor si pudiera llamarse video-ops y me poneis como admin del mismo por favor. Saludos cid FEF D-BE C- - C F- A F hi.inet,create-wiki
175281,Acceso a tenant -guido de openstack EPG,Buenos dias Necesito - Renombrar el tenant -guido a -techunit - Dar acceso al usuario tdaf-jenkins-ost a dicho tenant - Dar acceso al usuario dll a dicho tenant Muchas gracias de antemano.,add-users-to-tenant
175427,Wiki,Hola Necesitamos una Wiki para el proyecto de Business Intelligence del area de BI BigData. A la Wiki debe poder acceder personal que es de TID pero tambien que no sea de TID. El objetivo es escribir documentacion de proyecto. Gracias,create-wiki
176136,solicitud nueva wiki http wikis.hi.inet kudos,Buenos dias Necesitariamos la creacion de una nueva wiki publica en http wikis.hi.inet kudos con wiki admin guidotid.es mailto guidotid.es Muchas gracias,create-wiki
176987,Creacion wiki para nuevo servicio,Hola Necesitamos que por favor se cree una entrada en la wiki de TID para colgar la documentacion del servicio Mobile Connect . Comentarme tambien como se puede acceder para subir la info. Gracias y un saludo -- Roberto Camazon Digital Operations Deployment Telefonica Global CTO mail e.IS Service Manager.tidtelefonica.com mailto e.IS Service Manager.tidtelefonica.com mobile,create-wiki
177125,Acceso a tenant OST,Buenos dias Solicito el acceso del usuario b.pcv PABLO COELLO VILLALBA al al tenant -Demo de EPG. Saludos Ruben,add-users-to-tenant
177159,Servidor FTP al que se pueda acceder desde fuera de TID,Hola Para un proyecto de innovacion en el que estamos trabajando nos van a pasar una muestra de datos desde Argentina. disponemos de algun servidor FTP al que se pueda acceder desde internet para que puedan volcar esos datos El fichero ocupa unos MB comprimidos GB sin comprimir. Gracias. Un saludo Rober,add-ftp-user
177653,Wikis Wiki personal y para interns,Hola Queria saber si hay la posibilidad de tener una wiki donde pueda volcar informacion e ideas de los proyectos en los que estoy trabajando. Asimismo tambien seria muy util para que mis interns pudieran hacer un blog de su trabajo y sus tareas asignadas. Gracias Joan Wikis mailing list Wikistid.es https listas.tid.es mailman listinfo wikis,create-wiki
177758,Consulta para acceso a Tenant de OpenStack IoTPlatform,Hola Algunos de los miembros de IoT hemos pasado a formar parte de M M. Por lo tanto necesitarimos hacer uso del tenant que segun me ha indicado Juan Jose Martin es el Proyecto suyo en openstack. Como podemos o cuales son los pasos para acceder y utilizar este tenant Agustin Gonzalez Lucas.,add-users-to-tenant
