Equipo,PJ,PG,PE,PP,GF,GC,DIF,PTS
Barcelona,31,24,7,0,79,16,63,79
Atlético Madrid,31,20,8,3,51,15,36,68
Valencia,31,20,5,6,59,31,28,65
Real Madrid,31,19,7,5,77,34,43,64
Betis,31,15,4,12,52,53,-1,49
Villarreal,31,14,5,12,41,37,4,47
Sevilla,31,14,4,13,39,50,-11,46
Girona,31,12,8,11,44,48,-4,44
Celta,31,12,7,12,50,43,7,43
Eibar,31,11,7,13,36,45,-9,40
Getafe,31,10,9,12,35,30,5,39
Athletic,31,9,12,10,33,35,-2,39
Real Sociedad,31,10,7,14,56,52,4,37
Leganés,31,10,6,15,26,39,-13,36
Espanyol,31,8,12,11,26,38,-12,36
Alavés,31,11,2,18,28,45,-17,35
Levante,31,6,13,12,28,45,-17,31
Deportivo,31,5,8,18,29,63,-34,23
Las Palmas,31,5,6,20,22,63,-41,21
Málaga,31,4,5,22,19,48,-29,17
