Date,Open,High,Low,Last,Volume,Turnover
2014-02-14,11.22,11.42,11.22,11.33,11922.0,135917.01
2014-02-17,11.68,11.68,11.3,11.3,2530.0,28659.2
2014-02-18,11.15,11.31,11.15,11.25,5950.0,66894.75
2014-02-19,11.25,11.25,11.25,11.25,102.0,1147.5
2014-02-20,11.25,11.27,11.25,11.27,1009.0,11355.35
2014-02-21,11.28,11.28,11.28,11.28,661.0,7456.08
2014-02-24,11.47,11.47,11.35,11.45,3291.0,37611.93
2014-02-25,11.5,11.6,11.3,11.3,3407.0,38825.17
2014-02-26,11.44,11.52,11.4,11.43,6041.0,69041.09
2014-02-27,11.51,11.51,11.12,11.25,6027.0,67699.94
2014-02-28,11.2,11.2,11.05,11.05,3338.0,36999.81
2014-03-05,11.16,11.26,11.15,11.24,5279.0,59298.24
2014-03-06,11.33,11.42,11.32,11.34,1024.0,11631.02
2014-03-07,11.45,11.48,11.38,11.38,3555.0,40701.5
2014-03-10,11.35,11.36,11.33,11.36,3420.0,38818.7
2014-03-11,11.43,11.47,11.32,11.32,13783.0,157251.31
2014-03-12,11.27,11.27,11.21,11.25,4718.0,53060.98
2014-03-13,11.16,11.16,11.16,11.16,36.0,401.76
2014-03-14,11.03,11.03,10.75,10.9,867.0,9501.99
2014-03-17,10.99,11.04,10.99,11.02,3194.0,35212.53
2014-03-18,11.14,11.22,11.14,11.22,410.0,4572.5
2014-03-19,11.2,11.2,11.14,11.17,888.0,9900.6
2014-03-20,11.11,11.15,11.11,11.13,500.0,5562.34
2014-03-21,11.22,11.29,11.22,11.22,2433.0,27366.49
2014-03-24,11.22,11.22,11.11,11.11,364.0,4066.04
2014-03-25,11.1,11.14,11.1,11.14,660.0,7344.4
2014-03-26,11.05,11.12,11.0,11.12,1032.0,11384.14
2014-03-27,11.04,11.28,11.0,11.28,8520.0,94575.01
2014-03-28,11.26,11.48,11.26,11.48,2117.0,24116.47
2014-03-31,11.5,11.59,11.5,11.52,5222.0,60219.66
2014-04-01,11.55,11.55,11.48,11.48,2301.0,26474.04
2014-04-02,11.62,11.62,11.47,11.48,2839.0,32611.62
2014-04-03,11.5,11.66,11.5,11.6,843.0,9785.5
2014-04-04,11.55,11.7,11.55,11.67,3208.0,37311.21
2014-04-07,11.62,11.74,11.62,11.74,387.0,4499.34
2014-04-08,11.56,11.74,11.56,11.72,2258.0,26474.3
2014-04-09,11.55,11.85,11.55,11.83,3373.0,39685.6
2014-04-10,11.76,11.76,11.65,11.65,1542.0,18091.58
